NP Entry ID,Study ID,DOI,Title,Year,Core NP Material,Surface Modification,Modification Type,Modification Charge,NP Type,NP Sub-Type,Lipid Core Molar Ratio,NP Shape,Size Method,HD Solvent,Size (nm),Size Group,Zeta Potential Solvent,Zeta Potential (mV),Zeta Potential Group,Zeta Potential Charge,PDI,PDI Group,Incubation Protein Source,Incubation Media Additives,Incubation Media,Incubation Protein Concentration (%-v/v),Plasma Concentation Group,NP Solution Concentration,NP Solution Concentration Units,Dispersion medium Volume (µL),Final NP Incubation Mass (mg),Mass Group,Incubation time (min),Incubation time Group,Shaking or AgitationDuring Incubation,Incubation Temp (°C),NP-PC Isolation Method,Extraction Centrifugation Speed (xg),Isolation Temperature (°C),Extraction Centrifugation Time (min),Number of Washing Steps,Exposure type,Species,Protein Composition Units,No Proteins Identified,Protein Entry No,Study ID,APOE,APOB,CO3,CLUS
A001,A01,https://doi.org/10.1021/acsbiomaterials.1c00804,Correlating Corona Composition and Cell Uptake to Identify Proteins Affecting Nanoparticle Entry into Endothelial Cells,2021,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,DLS,PBS,101,100~150,PBS,-15,-50~-10,Negative,0.06,0~0.1,Human Plasma,None,N/A,100,50~100,1,mg/mL,Not Reported,1,0~5,60,30~60,Y,37,Centrifugation,16000,15,60,4,in vitro,Human,%-RPA,4,A001,A01,5.192980563,1.211149915,1.094400849,0.243855167
A002,A01,https://doi.org/10.1021/acsbiomaterials.1c00804,Correlating Corona Composition and Cell Uptake to Identify Proteins Affecting Nanoparticle Entry into Endothelial Cells,2021,Silica,No Modification,No Modification,No Modification,Inorganic,Silica,N/A,Sphere,DLS,PBS,165,>150,PBS,-12,-50~-10,Negative,0.05,0~0.1,Human Plasma,None,N/A,100,50~100,1,mg/mL,Not Reported,1,0~5,60,30~60,Y,37,Centrifugation,16000,15,60,4,in vitro,Human,%-RPA,4,A002,A01,2.971380527,1.356342052,1.13760959,0.446502111
A003,A01,https://doi.org/10.1021/acsbiomaterials.1c00804,Correlating Corona Composition and Cell Uptake to Identify Proteins Affecting Nanoparticle Entry into Endothelial Cells,2021,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,PBS,100,100~150,PBS,-11,-50~-10,Negative,0.04,0~0.1,Human Plasma,None,N/A,100,50~100,1,mg/mL,Not Reported,1,0~5,60,30~60,Y,37,Centrifugation,16000,15,60,4,in vitro,Human,%-RPA,4,A003,A01,3.047990607,0.956093829,1.2174314,0.226943934
A004,A01,https://doi.org/10.1021/acsbiomaterials.1c00804,Correlating Corona Composition and Cell Uptake to Identify Proteins Affecting Nanoparticle Entry into Endothelial Cells,2021,Silica,NH2,Amines,Positive,Inorganic,Silica,N/A,Sphere,DLS,PBS,192,>150,PBS,-7,-10~+10,Neutral,0.04,0~0.1,Human Plasma,None,N/A,100,50~100,1,mg/mL,Not Reported,1,0~5,60,30~60,Y,37,Centrifugation,16000,15,60,4,in vitro,Human,%-RPA,4,A004,A01,3.324502488,1.339134916,1.182662757,0.502611015
A005,A01,https://doi.org/10.1021/acsbiomaterials.1c00804,Correlating Corona Composition and Cell Uptake to Identify Proteins Affecting Nanoparticle Entry into Endothelial Cells,2021,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,DLS,PBS,105,100~150,PBS,-15,-50~-10,Negative,0.02,0~0.1,Human Plasma,None,N/A,100,50~100,1,mg/mL,Not Reported,1,0~5,60,30~60,Y,37,Centrifugation,16000,15,60,4,in vitro,Human,%-RPA,4,A005,A01,3.962498073,0.819610168,1.445927905,0.192965023
A006,A01,https://doi.org/10.1021/acsbiomaterials.1c00804,Correlating Corona Composition and Cell Uptake to Identify Proteins Affecting Nanoparticle Entry into Endothelial Cells,2021,Silica,COOH,Carboxylic Acids,Negative,Inorganic,Silica,N/A,Sphere,DLS,PBS,203,>150,PBS,-13,-50~-10,Negative,0.05,0~0.1,Human Plasma,None,N/A,100,50~100,1,mg/mL,Not Reported,1,0~5,60,30~60,Y,37,Centrifugation,16000,15,60,4,in vitro,Human,%-RPA,4,A006,A01,1.976566483,1.832282496,1.455768918,0.510492518
A012,A02,https://doi.org/10.1016/j.jprot.2015.02.009,Surface chemistry and serum type both determine the nanoparticle–protein corona,2015,Shingosine-Chol-DSPC,No Modification,No Modification,No Modification,Organic,Lipid,3:2:5,Sphere,DLS,DI-H2O,193.4,>150,DI-H2O,39.9,+10~+50,Positive,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,1,mg/mL,170,1,0~5,60,30~60,N,37,Centrifugation,18000,Not Reported,15,3,in vitro,Human,%-RPA,4,A012,A02,1.01974215,1.26841017,4.2946024,0.59839814
A013,A02,https://doi.org/10.1016/j.jprot.2015.02.009,Surface chemistry and serum type both determine the nanoparticle–protein corona,2015,DOTAP-CHOL-DPPC,No Modification,No Modification,No Modification,Organic,Lipid,3:2:5,Sphere,DLS,DI-H2O,209.9,>150,DI-H2O,32.5,+10~+50,Positive,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,1,mg/mL,170,1,0~5,60,30~60,N,37,Centrifugation,18000,Not Reported,15,3,in vitro,Human,%-RPA,4,A013,A02,1.11847484,0.50335655,1.88583652,0.91047445
A014,A02,https://doi.org/10.1016/j.jprot.2015.02.009,Surface chemistry and serum type both determine the nanoparticle–protein corona,2015,DOTAP-CHOL-DSPC,No Modification,No Modification,No Modification,Organic,Lipid,3:2:5,Sphere,DLS,DI-H2O,470.3,>150,DI-H2O,31.1,+10~+50,Positive,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,1,mg/mL,170,1,0~5,60,30~60,N,37,Centrifugation,18000,Not Reported,15,3,in vitro,Human,%-RPA,4,A014,A02,0.89794872,0.61951501,2.52044549,0.57560816
A015,A02,https://doi.org/10.1016/j.jprot.2015.02.009,Surface chemistry and serum type both determine the nanoparticle–protein corona,2015,DOTAP-CHOL-PC,No Modification,No Modification,No Modification,Organic,Lipid,3:2:5,Sphere,DLS,DI-H2O,254.6,>150,DI-H2O,29.7,+10~+50,Positive,Not Reported,Not Reported,Human Plasma,None,N/A,100,50~100,1,mg/mL,170,1,0~5,60,30~60,N,37,Centrifugation,18000,Not Reported,15,3,in vitro,Human,%-RPA,4,A015,A02,0.75582959,0.54197083,2.30992839,0.6540833
